# IETS Simulation Results
# Device:,GaAs_AlAs_symmetric
# Molecule:,Baseline
# Temperature:,300 K
#
V (V),I (A),dI/dV (S),d2I/dV2 (S/V)
0.000000e+00,0.000000e+00,4.760705e-07,6.214394e-05
2.500000e-02,1.190176e-08,2.029669e-06,7.691169e-05
5.000000e-02,1.014835e-07,4.321655e-06,8.478750e-05
7.500000e-02,2.279845e-07,6.269044e-06,-9.632994e-05
1.000000e-01,4.149356e-07,-4.948416e-07,-2.752409e-04
1.250000e-01,2.032424e-07,-7.493001e-06,1.418065e-04
1.500000e-01,4.028561e-08,6.595484e-06,1.357042e-04
1.750000e-01,5.330166e-07,-7.077921e-07,-1.366955e-04
2.000000e-01,4.896006e-09,-2.392910e-07,9.003948e-05
2.250000e-01,5.210521e-07,3.794182e-06,-4.669839e-05
2.500000e-01,1.946051e-07,-2.574210e-06,9.463664e-05
2.750000e-01,3.923416e-07,8.526014e-06,5.866118e-05
3.000000e-01,6.209058e-07,3.588490e-07,-1.548205e-04
3.250000e-01,4.102840e-07,7.849890e-07,2.069162e-05
3.500000e-01,6.601552e-07,1.393430e-06,-7.716587e-05
3.750000e-01,4.799555e-07,-3.073305e-06,-5.366869e-06
4.000000e-01,5.064900e-07,1.125086e-06,1.045095e-04
4.250000e-01,5.362098e-07,2.152170e-06,4.826880e-05
4.500000e-01,6.140985e-07,3.538526e-06,5.390268e-05
4.750000e-01,7.131361e-07,4.847304e-06,4.389154e-05
5.000000e-01,8.564637e-07,5.733103e-06,3.543197e-05
